experiment,condition_name,run,seed,packet_loss,method,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,estimate_availability_pct,valid_estimate_count,invalid_fusion_cycles,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,final_packet_loss_count,final_duplicate_count,final_out_of_order_count,final_stale_rejected_count,network_transmitted_count,network_dropped_count,network_queued_count,network_delivered_count,network_duplicated_count,received_count,accepted_count,invalid_count,sequence_gap_count,estimated_packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,generated_messages,payload_bytes,payload_bytes_per_s,payload_kbit_per_s,stale_rejection_rate
packet_loss,loss_0.05_latest_only,5,3012,0.05,latest_only,1.8479533648858995,1.6618541354423484,1.5507994339652793,3.115084411997157,4.477917490593537,100.0,300,0,4.0,4.0,0.012333333333333404,0.4000000000000057,1.5543360604073702,6.827499123691713,1.691424494152362,137,0,0,0,1200,69,1131,1131,0,1131,1131,0,63,68,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,6,3013,0.05,latest_only,1.9610011948578225,1.7630220008959698,1.6336712423263702,3.3993245467687854,4.657436726913951,100.0,300,0,4.0,4.0,0.0081666666666667,0.3999999999999986,1.660899013732549,6.6798483439660155,1.6936538589773718,96,0,0,0,1200,48,1152,1152,0,1152,1152,0,47,48,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,7,3014,0.05,latest_only,1.905665178232423,1.7200700583896344,1.6435942665032077,3.296055687531635,4.540938739360597,100.0,300,0,3.9966666666666666,3.9966666666666666,0.009166666666666714,0.4000000000000057,1.6640451982089086,6.375558049317187,1.6962671624005627,107,0,0,0,1200,54,1146,1146,0,1146,1146,0,51,53,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,8,3015,0.05,latest_only,1.7981716215750172,1.6224017118536769,1.5076586965643002,3.0773586519613483,4.320938468002975,100.0,300,0,4.0,4.0,0.008500000000000044,0.4000000000000057,1.6033328466546586,5.971025550016213,1.6930362282168425,93,0,0,0,1200,47,1153,1153,0,1153,1153,0,42,46,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,9,3016,0.05,latest_only,1.796206175919781,1.6094945410523158,1.4938298103251126,3.0321744388433722,5.146015240293485,100.0,300,0,3.993333333333333,3.993333333333333,0.010555555555555617,0.4000000000000057,1.5890305568645402,5.820819489919903,1.6980206850230568,126,0,0,0,1200,64,1136,1136,0,1136,1136,0,61,62,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,10,3017,0.05,latest_only,1.8094741742051346,1.633792472039441,1.5244181678610627,3.1267748710707597,3.779911986424552,100.0,300,0,4.0,4.0,0.011000000000000044,0.40000000000000036,1.5773646094324696,7.798595000488844,1.6914811350398216,129,0,0,0,1200,65,1135,1135,0,1135,1135,0,63,64,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,11,3018,0.05,latest_only,1.822133106342538,1.6620271398057183,1.5979608862659953,3.129990495508793,4.572146157015001,100.0,300,0,4.0,4.0,0.010666666666666708,0.3999999999999986,1.5991268308625237,6.986496639404207,1.6915854701639694,126,0,0,0,1200,63,1137,1137,0,1137,1137,0,62,63,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,12,3019,0.05,latest_only,1.9090227824714687,1.706812910319872,1.5449404807440423,3.220231722587774,5.3646430820248,100.0,300,0,4.0,4.0,0.009500000000000059,0.4000000000000057,1.5777865441983279,5.041595061687737,1.6923026831091614,112,0,0,0,1200,56,1144,1144,0,1144,1144,0,55,56,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,13,3020,0.05,latest_only,1.887434837702677,1.6828664946544007,1.5258512079429267,3.401591745038227,4.850097938270837,100.0,300,0,4.0,4.0,0.012166666666666725,0.4000000000000057,1.6549970110939498,5.3978526371562525,1.6961184863935461,136,0,0,0,1200,68,1132,1132,0,1132,1132,0,63,68,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,14,3021,0.05,latest_only,1.8766078159786979,1.6895216101971247,1.6064901484240832,2.9935215777460886,5.222217408101862,100.0,300,0,4.0,4.0,0.00833333333333338,0.5999999999999979,1.6018420304028593,5.3792642950192535,1.6940917635273798,92,0,0,0,1200,46,1154,1154,0,1154,1154,0,43,46,0,0,0,1200,64,1280.0,10.24,0.0
